                       Manchete                       Valência (%)
Editorial: Prêmios excessivos a delações na Lava-Jato.       85.69
Partidos e TSE querem fundo para eleições.                   77.58
Dois são presos por propina na Linha 4 do Metrô.             20.00
Pezão desiste de nomear ré da Lava-Jato.                     88.50
Crivella desiste de nomear irmão de Freixo.                  76.48
Temer pode desistir de políticos para Itaipu.                50.00
Desigualdade sobe com piora no emprego.                      50.00
Conta da Light aumenta 9,8% a partir de hoje.                13.30
Tratamento contra câncer é falho no rio.                      6.57
Febre amarela: um milhão já foi vacinado.                    50.00
Alemanha quer multar por notícias falsas.                     9.52
Holanda vai às urnas com 60% de indecisos.                   50.00
Lista de Janot inclui 5 ministros de Temer, além de Lula e   50.00
Ex-presidente depõe e diz que é vítima de "quase um massac   50.00
Citados preveem fase crítica por até quatro meses.           50.00
Bernardo Mello Franco: Pedido cai como bomba nuclear na ca   82.53
Casos de suspeita de dengue e zika caem, em média, 90% no    50.00
Protesto contra reformas deve parar ônibus e metrô.          50.00
Tempestade cobre NY de neve e finda primavera precoce.       25.71
Eleição holandesa gera ansiedade entre imigrantes.           91.46
Janot pede investigação de Lula, Dilma e 5 ministros de Te   50.00
Gasto com salário de servidores 10% e supera teto.           23.13
Governo ignora se 2/3 dos casos são febre amarela.           88.73
Fisco cobra multa extra de quem aderiu à repatriação.        99.65
Resistência jurídica pode parar Trump.                       50.00
Morre Edson Bueno, 73, um empreendedor da saúde.             90.05
Crédito parcelado do cartão custará mais de 154% ao ano.     50.00
Toshiba encolhe, perde US$ 6,3 bi e pede desculpas.           0.93
Dinheiro sumiu para blocos de carnaval do Rio.               17.65
Saque do FGTS ajudará na retomada.                           50.00
Celso de Mello defende STF e mantém Moreira ministro.        76.14
Velloso pode comandar a Justiça.                             50.00
Rombo no caixa do Rio só cresce.                             86.84
A lavanderia e as joias de Cabral.                           15.38
Joesley: "Isso não vai adiante".                             50.00
Ligações russas sob investigação.                            50.00
Obituário: Edson Bueno, fundador da Amil.                    50.00
Doria inclui mais pobres e tira jovens do Leve Leite.         4.30
Temer afirma que não é inimigo nem censor da imprensa.       76.98
Bernardo Mello Franco: Beijão-mão expõe Moraes a cenas con    2.26
Celso de Mello, do STF, mantém moreira Franco em ministéri   78.58
Conselheiro pede demissão, e Trump sofre a 1ª baixa.         50.00
Presidente da J&amp;F diz que não deixará chefia da empres   50.00
Tire suas dúvidas sobre calendário e como sacar o dinehiro   23.75
 Supremo mantém Moreira Franco ministro e com foro.          82.64
Em dez anos, Exército atuou em Estados em 1 a cada 3 dias.   92.93
Câmara de SP aprova multa para pichadores.                   92.31
Rússia causa demissão no alto escalão de Trump.              82.67
Enfarte mata Edson Bueno, fundador da Amil.                   5.96
Dólar cai para R$ 3,09, menor valor desde 2015.              75.43
Dobra o otimismo de CEOs e Bradesco vê início de virada.     50.00
Moody's deve melhorar nota da Petrobras.                     94.26
Analistas veem aumento das importações.                      90.51
Óculos e lentes se unem em negócio de US$ 49 bilhões.         3.81
Polícia de SP alerta para ataque do PCC.                     88.89
Alemanha reagirá a guerra fiscal.                            50.00
Rolls Royce vai pagar US$ 26 mi à Petrobras.                 50.00
Basquete quer voltar a ser o segundo esporte do país.        50.00
Prisão rebelada tem presos fora das celas desde 2015.        50.00
Críticas de Trump provocam forte reação da Europa.           50.00
O poder mora ao lado.                                        50.00
Febre amarela avança para o litoral.                         87.82
Rolls-Royce vai devolver R$ 2,6 bi.                          50.00
Merendeira vai gerir transportes.                            50.00
Tem dendê na folia.                                           9.09
Estados pressionam Temer por papel da Força Nacional.        89.01
Hélio Shwartsman: É preciso prender menos e legalizar o us   82.11
Rolls-Royce admite ter pago propina e devolverá R$ 83 mi.    50.00
União teve perda menor de receita no final de 2016.          50.00
